quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,month,day_of_month,week_of_year,over_time_per_worker,incentive_per_worker,idle_impact,idle_ratio,incentive_target_ratio,stress_index,actual_productivity
0,1,3,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,1,1,1,119.99997966102039,1.6610166676242935,0.0,0.0,122.49846876914039,0.44338975535766856,0.940725424
0,0,3,1,0.75,3.94,0.0,960,0,0.0,0,0,8.0,1,1,1,119.99985000018751,0.0,0.0,0.0,0.0,0.49249938437576957,0.8865
0,1,3,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,1,1,1,119.99996065575061,1.6393437248053362,0.0,0.0,62.499218759765505,0.37409823800057773,0.800570492
0,1,3,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,1,1,1,119.99996065575061,1.6393437248053362,0.0,0.0,62.499218759765505,0.37409823800057773,0.800570492
0,1,3,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,1,1,1,34.2857081632664,0.8928569834183958,0.0,0.0,62.499218759765505,0.462499917410729,0.800381944
0,1,3,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,1,1,1,119.9999785714324,0.6785713073979808,0.0,0.0,47.49940625742178,0.462499917410729,0.800125
0,0,3,2,0.75,3.94,0.0,960,0,0.0,0,0,8.0,1,1,1,119.99985000018751,0.0,0.0,0.0,0.0,0.49249938437576957,0.755166667
0,1,3,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,1,1,1,119.9999791304384,0.7826085595463375,0.0,0.0,59.99920001066653,0.48834774115691454,0.753683478
0,1,3,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,1,1,1,109.09088925620195,0.6181817057851444,0.0,0.0,45.33272889694804,0.3612726615867888,0.753097531
0,1,3,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,1,1,1,119.9999791304384,0.7826085595463375,0.0,0.0,59.99920001066653,0.48834774115691454,0.750427826
0,1,3,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,1,1,1,119.9999791304384,0.7652172582230855,0.0,0.0,62.856244910787,0.48834774115691454,0.721126957
0,1,3,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,1,1,1,119.99997777778188,0.8333331790123742,0.0,0.0,59.99920001066653,0.3575925263717543,0.712205247
0,1,3,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,1,1,1,119.99996065575061,1.6393437248053362,0.0,0.0,62.499218759765505,0.37409823800057773,0.707045902
0,0,3,10,0.65,3.94,0.0,960,0,0.0,0,0,8.0,1,1,1,119.99985000018751,0.0,0.0,0.0,0.0,0.49249938437576957,0.705916667
0,0,3,8,0.75,2.9,0.0,960,0,0.0,0,0,8.0,1,1,1,119.99985000018751,0.0,0.0,0.0,0.0,0.3624995468755664,0.676666667
0,0,3,4,0.75,3.94,0.0,2160,0,0.0,0,0,18.0,1,1,1,119.99993333337038,0.0,0.0,0.0,0.0,0.21888876728401818,0.593055556
0,0,3,7,0.8,2.9,0.0,960,0,0.0,0,0,8.0,1,1,1,119.99985000018751,0.0,0.0,0.0,0.0,0.3624995468755664,0.540729167
0,1,3,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,1,1,1,119.99998000000333,0.0,0.0,0.0,0.0,0.39483326752778874,0.52118
0,0,3,11,0.7,4.15,0.0,1440,0,0.0,0,0,12.0,1,1,1,119.99990000008334,0.0,0.0,0.0,0.0,0.3458330451391291,0.436326389
0,0,1,4,0.8,4.15,0.0,6600,0,0.0,0,0,20.0,1,3,1,329.9998350000825,0.0,0.0,0.0,0.0,0.20749989625005189,0.988024691
0,0,1,11,0.75,2.9,0.0,5640,0,0.0,0,0,17.0,1,3,1,331.76451072675843,0.0,0.0,0.0,0.0,0.17058813494815592,0.987880435
0,0,1,9,0.8,4.15,0.0,960,0,0.0,0,0,8.0,1,3,1,119.99985000018751,0.0,0.0,0.0,0.0,0.5187493515633106,0.956270833
0,0,1,3,0.75,3.94,0.0,1560,0,0.0,0,0,8.0,1,3,1,194.9997562503047,0.0,0.0,0.0,0.0,0.49249938437576957,0.945277778
0,0,1,1,0.8,3.94,0.0,960,0,0.0,0,0,8.0,1,3,1,119.99985000018751,0.0,0.0,0.0,0.0,0.49249938437576957,0.902916667
0,1,1,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,1,3,1,111.50440504346813,0.8849555955830803,0.0,0.0,62.499218759765505,0.4969910624794579,0.800725314
0,1,1,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,1,3,1,119.9999779816554,0.9174310243245827,0.0,0.0,62.499218759765505,0.5152292632606856,0.800322936
